date,code,name,vwap930,close,result,dev930_pct
2026-07-14,5406,神戸製鋼所,1889.37,1928.0,高,2.04
2026-07-14,5411,JFEHD,1646.83,1660.5,高,0.83
2026-07-14,5711,三菱マテリアル,3992.77,4158.0,高,4.14
2026-07-14,5713,住友金属鉱山,6980.11,7351.0,高,5.31
2026-07-14,5801,古河電工,3423.19,3566.0,高,4.17
2026-07-14,5802,住友電工,2420.44,2456.5,高,1.49
2026-07-14,5803,フジクラ,4659.65,4816.0,高,3.36
2026-07-14,6098,リクルートHD,12640.4,12685.0,高,0.35
2026-07-14,6103,オークマ,4912.78,4980.0,高,1.37
2026-07-14,6113,アマダ,2864.68,2874.0,高,0.33
2026-07-14,6146,ディスコ,69888.78,71660.0,高,2.53
2026-07-14,6254,野村マイクロ,4200.88,4355.0,高,3.67
2026-07-14,6273,SMC,71030.8,72750.0,高,2.42
2026-07-14,6301,コマツ,6375.31,6374.0,低,-0.02
2026-07-14,6326,クボタ,2735.43,2755.5,高,0.73
2026-07-14,6361,荏原製作所,5653.84,5881.0,高,4.02
2026-07-14,6367,ダイキン,25062.21,24880.0,低,-0.73
2026-07-14,6501,日立製作所,4732.81,4800.0,高,1.42
2026-07-14,6503,三菱電機,5579.04,5601.0,高,0.39
2026-07-14,6506,安川電機,5534.75,5451.0,低,-1.51
2026-07-14,6525,KOKUSAI ELECTRIC,10095.99,10320.0,高,2.22
2026-07-14,6526,ソシオネクスト,2641.4,2592.0,低,-1.87
2026-07-14,6594,ニデック,2627.38,2616.0,低,-0.43
2026-07-14,6701,NEC,4418.29,4464.0,高,1.03
2026-07-14,6702,富士通,3350.58,3383.0,高,0.97
2026-07-14,6723,ルネサス,4378.55,4394.0,高,0.35
2026-07-14,6724,セイコーエプソン,2785.88,2882.0,高,3.45
2026-07-14,6752,パナソニックHD,4223.72,4175.0,低,-1.15
2026-07-14,6758,ソニーG,3397.8,3374.0,低,-0.7
2026-07-14,6762,TDK,3162.07,3264.0,高,3.22
2026-07-14,6857,アドバンテスト,28846.78,29775.0,高,3.22
2026-07-14,6861,キーエンス,75664.8,75620.0,低,-0.06
2026-07-14,6902,デンソー,1944.76,1933.0,低,-0.6
2026-07-14,6920,レーザーテック,44264.89,45110.0,高,1.91
2026-07-14,6963,ローム,5144.97,5234.0,高,1.73
2026-07-14,6981,村田製作所,8674.8,9122.0,高,5.16
2026-07-14,6988,日東電工,3268.85,3347.0,高,2.39
2026-07-14,7011,三菱重工業,3744.95,3756.0,高,0.3
2026-07-14,7012,川崎重工,2683.3,2705.5,高,0.83
2026-07-14,7013,IHI,2795.26,2826.5,高,1.12
2026-07-14,7182,ゆうちょ銀行,3276.36,3318.0,高,1.27
2026-07-14,7186,コンコルディアFG,1875.22,1912.0,高,1.96
2026-07-14,7201,日産自動車,306.91,305.29998779296875,低,-0.52
2026-07-14,7203,トヨタ自動車,2837.25,2832.5,低,-0.17
2026-07-14,7259,アイシン,2267.97,2269.0,高,0.05
2026-07-14,7261,マツダ,1101.22,1091.0,低,-0.93
2026-07-14,7267,ホンダ,1537.44,1511.0,低,-1.72
2026-07-14,7269,スズキ,2036.21,2017.0,低,-0.94
2026-07-14,7270,SUBARU,2498.3,2485.0,低,-0.53
2026-07-14,7453,良品計画,4354.84,4282.0,低,-1.67
2026-07-14,7532,パンパシフィックHD,882.61,874.5999755859375,低,-0.91
2026-07-14,7731,ニコン,2272.71,2283.0,高,0.45
2026-07-14,7733,オリンパス,1791.77,1788.5,低,-0.18
2026-07-14,7735,SCREEN,17587.97,18210.0,高,3.54
2026-07-14,7741,HOYA,25727.45,25395.0,低,-1.29
2026-07-14,7751,キヤノン,4372.38,4366.0,低,-0.15
2026-07-14,7974,任天堂,7065.94,7038.0,低,-0.4
2026-07-14,8001,伊藤忠商事,1891.14,1904.0,高,0.68
2026-07-14,8002,丸紅,4873.82,4931.0,高,1.17
2026-07-14,8015,豊田通商,6020.15,6037.0,高,0.28
2026-07-14,8031,三井物産,4643.05,4695.0,高,1.12
2026-07-14,8035,東京エレクトロン,70294.08,71470.0,高,1.67
2026-07-14,8053,住友商事,1561.69,1570.0,高,0.53
2026-07-14,8058,三菱商事,4460.89,4489.0,高,0.63
2026-07-14,8233,高島屋,2306.09,2365.5,高,2.58
2026-07-14,8267,イオン,1420.56,1414.0,低,-0.46
2026-07-14,8306,三菱UFJ,3531.16,3594.0,高,1.78
2026-07-14,8308,りそなHD,2344.42,2371.5,高,1.16
2026-07-14,8316,三井住友FG,6896.96,6990.0,高,1.35
2026-07-14,8411,みずほFG,8360.23,8483.0,高,1.47
2026-07-14,8473,SBIHD,2788.87,2814.0,高,0.9
2026-07-14,8591,オリックス,6363.55,6444.0,高,1.26
2026-07-14,8604,野村HD,1548.67,1557.0,高,0.54
2026-07-14,8630,SOMPOHD,6501.52,6594.0,高,1.42
2026-07-14,8697,JPX,2171.24,2220.0,高,2.25
2026-07-14,8725,MS&ADHD,4465.33,4505.0,高,0.89
2026-07-14,8750,第一生命HD,1820.15,1848.0,高,1.53
2026-07-14,8766,東京海上HD,7665.59,7708.0,高,0.55
2026-07-14,8801,三井不動産,1525.58,1549.0,高,1.54
2026-07-14,8802,三菱地所,4120.23,4226.0,高,2.57
2026-07-14,8830,住友不動産,3750.52,3840.0,高,2.39
2026-07-14,9020,JR東日本,3591.81,3577.0,低,-0.41
2026-07-14,9021,JR西日本,2999.93,2981.0,低,-0.63
2026-07-14,9022,JR東海,3691.57,3696.0,高,0.12
2026-07-14,9064,ヤマトHD,1968.5,1965.5,低,-0.15
2026-07-14,9101,日本郵船,5410.45,5495.0,高,1.56
2026-07-14,9104,商船三井,5442.08,5493.0,高,0.94
2026-07-14,9107,川崎汽船,2575.99,2654.0,高,3.03
2026-07-14,9201,JAL,2916.96,2930.0,高,0.45
2026-07-14,9202,ANAHD,3027.54,3036.0,高,0.28
2026-07-14,9432,NTT,150.63,150.6999969482422,高,0.05
2026-07-14,9433,KDDI,2849.24,2834.0,低,-0.53
2026-07-14,9434,ソフトバンク,217.19,219.1999969482422,高,0.93
2026-07-14,9501,東京電力HD,487.22,506.8999938964844,高,4.04
2026-07-14,9502,中部電力,2976.47,2997.0,高,0.69
2026-07-14,9503,関西電力,2271.22,2303.0,高,1.4
2026-07-14,9531,東京ガス,6019.0,6030.0,高,0.18
